SYMBOL,E10,E11,E12,E13,E14,E15,E16,P0
Mir7091,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7092,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7093,QUIESCENT,QUIESCENT,REFRACTORY,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7094-1,PRIMED,LOW_PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7094-2,LOW_PRIMED,LOW_PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
Mir710,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7115,QUIESCENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mir7116,ACTIVE,QUIESCENT,LOW_PRIMED,ACTIVE,PERMISSIVE_ACTIVE,PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7117,PERMISSIVE_ACTIVE,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7118,PERMISSIVE_ACTIVE,N/A,N/A,QUIESCENT,N/A,N/A,N/A,N/A
Mir7119,QUIESCENT,QUIESCENT,POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir713,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
Mir717,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir718,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir719,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir721,PERMISSIVE_ACTIVE,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT
Mir7210,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7211,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,QUIESCENT
Mir7212,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7213,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,PERMISSIVE_POISED,QUIESCENT,N/A
Mir7214,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir7215,PERMISSIVE_POISED,QUIESCENT,LOW_PRIMED,PERMISSIVE_POISED,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir7216,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
Mir7217,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,N/A
Mir7218,PERMISSIVE_POISED,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir7219,PERMISSIVE_POISED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir7220,POISED,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir7221,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7222,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,N/A,N/A
Mir7223,QUIESCENT,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,QUIESCENT,QUIESCENT,QUIESCENT
Mir7224,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7225,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,POISED,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT
Mir7226,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7227,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7228,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_ACTIVE,QUIESCENT
Mir7229,LOW_PRIMED,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7230,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED,REFRACTORY,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7231,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7232,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
Mir7233,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7234,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7235,LOW_PRIMED,PERMISSIVE_POISED,POISED,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT
Mir7236,QUIESCENT,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7237,QUIESCENT,QUIESCENT,N/A,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7238,ACTIVE,N/A,N/A,PERMISSIVE_ACTIVE,N/A,N/A,N/A,N/A
Mir7239,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7240,LOW_PRIMED,QUIESCENT,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_ACTIVE,QUIESCENT
Mir7241,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7243,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED
Mir743,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
Mir744,PERMISSIVE_POISED,QUIESCENT,N/A,LOW_PRIMED,PERMISSIVE_POISED,N/A,QUIESCENT,QUIESCENT
Mir7578,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,ACTIVE,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_ACTIVE
Mir759,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir760,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Mir761,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,N/A,N/A,QUIESCENT,QUIESCENT,QUIESCENT
Mir763,POISED,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7646,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7647,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7648,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
Mir7649,LOW_PRIMED,QUIESCENT,LOW_PRIMED,N/A,N/A,N/A,LOW_PRIMED,N/A
